player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,172/346,.497,80/103,.777,57,147,.388,481,168,146,29,21,69,61,10
安叮叮康阿吉,454.l.130312.t.10,222/440,.505,102/124,.823,63,158,.399,609,208,154,30,17,69,68,8
Rob Pelinka,454.l.130312.t.2,222/497,.447,126/143,.881,66,192,.344,636,231,178,43,18,66,75,10
敢不敢不要比命中率,454.l.130312.t.5,278/528,.527,133/190,.700,57,152,.375,746,257,155,30,23,89,68,11
彥廷's Groovy Team,454.l.130312.t.3,128/266,.481,38/49,.776,43,134,.321,337,136,88,30,25,43,72,2
衛冕軍準備一輪遊,454.l.130312.t.4,202/433,.467,110/129,.853,79,196,.403,593,195,101,39,23,52,78,4
Rickybelegend,454.l.130312.t.6,252/515,.489,70/79,.886,73,186,.392,647,229,130,43,20,74,88,7
INJURIES Team,454.l.130312.t.7,180/382,.471,79/103,.767,56,156,.359,495,211,84,27,34,59,76,8
安俞真我寶貝,454.l.130312.t.8,172/396,.434,79/103,.767,69,185,.373,492,156,86,28,23,59,70,5
太陽神,454.l.130312.t.9,201/464,.433,116/156,.744,61,181,.337,579,224,177,42,28,84,93,6
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,185/399,.464,78/101,.772,76,185,.411,524,169,121,23,17,57,64,5
幫你煎,454.l.130312.t.12,180/420,.429,79/93,.849,63,185,.341,502,191,120,36,27,76,91,2
