player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,255/542,.470,118/139,.849,60,176,.341,688,280,201,52,27,87,91,10
幫你煎,454.l.130312.t.12,188/413,.455,72/88,.818,61,164,.372,509,193,108,36,21,70,78,4
Rob Pelinka,454.l.130312.t.2,219/470,.466,111/136,.816,65,201,.323,614,163,143,39,16,84,70,6
衛冕軍準備一輪遊,454.l.130312.t.4,246/516,.477,113/139,.813,82,229,.358,687,210,138,36,23,77,80,7
彥廷's Groovy Team,454.l.130312.t.3,139/304,.457,66/82,.805,47,136,.346,391,171,128,24,16,48,49,5
安叮叮康阿吉,454.l.130312.t.10,214/432,.495,74/90,.822,73,180,.406,575,224,117,41,22,74,71,8
敢不敢不要比命中率,454.l.130312.t.5,214/426,.502,58/86,.674,42,122,.344,528,195,113,23,16,56,77,5
安俞真我寶貝,454.l.130312.t.8,204/432,.472,84/99,.848,72,180,.400,564,180,95,25,22,63,64,5
Rickybelegend,454.l.130312.t.6,223/454,.491,65/91,.714,53,159,.333,564,194,123,39,16,65,62,5
太陽神,454.l.130312.t.9,214/451,.475,97/119,.815,58,164,.354,583,302,198,35,28,80,88,15
INJURIES Team,454.l.130312.t.7,259/556,.466,98/131,.748,73,213,.343,689,260,150,44,31,70,87,13
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,244/504,.484,84/97,.866,55,156,.353,627,238,170,50,27,79,81,7
