player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,245/488,.502,107/135,.793,65,190,.342,662,241,177,52,22,71,96,8
Rickybelegend,454.l.130312.t.6,271/563,.481,135/165,.818,87,221,.394,764,222,136,42,25,71,74,6
Rob Pelinka,454.l.130312.t.2,266/552,.482,147/186,.790,68,215,.316,747,212,175,36,20,80,75,9
安叮叮康阿吉,454.l.130312.t.10,218/421,.518,129/148,.872,59,158,.373,624,193,131,37,14,65,65,6
彥廷's Groovy Team,454.l.130312.t.3,145/292,.497,62/76,.816,51,131,.389,403,159,98,24,22,41,54,3
安俞真我寶貝,454.l.130312.t.8,197/441,.447,75/87,.862,62,172,.360,531,168,111,23,14,45,55,3
衛冕軍準備一輪遊,454.l.130312.t.4,173/385,.449,82/99,.828,58,169,.343,486,146,127,34,13,57,74,2
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,287/587,.489,155/178,.871,54,181,.298,783,314,163,43,32,59,103,12
敢不敢不要比命中率,454.l.130312.t.5,270/531,.508,128/168,.762,42,124,.339,710,227,158,33,13,76,64,11
幫你煎,454.l.130312.t.12,222/472,.470,79/107,.738,64,191,.335,587,186,131,37,15,69,82,6
INJURIES Team,454.l.130312.t.7,180/416,.433,91/106,.858,62,197,.315,513,164,99,24,21,44,65,4
太陽神,454.l.130312.t.9,197/386,.510,78/108,.722,52,131,.397,524,203,153,28,24,64,58,10
