player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,393/768,.512,172/224,.768,114,290,.393,1072,356,246,67,36,124,120,14
Rickybelegend,454.l.130312.t.6,414/852,.486,154/193,.798,122,314,.389,1104,346,241,70,34,125,117,9
Rob Pelinka,454.l.130312.t.2,362/800,.453,170/207,.821,129,366,.352,1023,302,289,65,31,136,142,12
安叮叮康阿吉,454.l.130312.t.10,354/763,.464,158/197,.802,116,334,.347,982,335,261,73,30,139,103,10
彥廷's Groovy Team,454.l.130312.t.3,285/580,.491,85/113,.752,116,292,.397,771,288,191,54,27,105,98,4
安俞真我寶貝,454.l.130312.t.8,336/757,.444,153/188,.814,113,324,.349,938,266,177,58,38,97,143,4
衛冕軍準備一輪遊,454.l.130312.t.4,317/711,.446,172/203,.847,103,308,.334,909,353,182,47,32,100,135,10
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,370/731,.506,161/204,.789,84,230,.365,985,378,209,76,43,125,141,9
敢不敢不要比命中率,454.l.130312.t.5,412/813,.507,185/265,.698,80,224,.357,1089,406,242,68,50,156,108,12
幫你煎,454.l.130312.t.12,302/629,.480,134/169,.793,98,256,.383,836,344,180,65,38,96,126,8
INJURIES Team,454.l.130312.t.7,336/739,.455,169/221,.765,116,327,.355,957,391,232,93,64,143,177,8
太陽神,454.l.130312.t.9,356/793,.449,151/179,.844,104,310,.335,967,397,268,61,52,127,150,16
