player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,195/394,.495,75/103,.728,40,113,.354,505,197,96,37,20,64,70,5
Rob Pelinka,454.l.130312.t.2,236/493,.479,126/148,.851,69,194,.356,667,232,129,28,13,86,68,9
彥廷's Groovy Team,454.l.130312.t.3,142/312,.455,43/54,.796,66,146,.452,393,127,96,26,17,49,50,2
敢不敢不要比命中率,454.l.130312.t.5,303/635,.477,134/177,.757,47,172,.273,787,273,195,39,33,90,85,14
衛冕軍準備一輪遊,454.l.130312.t.4,249/528,.472,105/136,.772,78,223,.350,681,207,173,41,17,100,88,6
Rickybelegend,454.l.130312.t.6,209/438,.477,98/119,.824,55,160,.344,571,197,128,36,16,70,73,5
INJURIES Team,454.l.130312.t.7,210/425,.494,82/100,.820,71,182,.390,573,167,95,34,19,52,77,4
幫你煎,454.l.130312.t.12,218/475,.459,109/132,.826,73,197,.371,618,217,147,45,21,79,67,10
安俞真我寶貝,454.l.130312.t.8,201/394,.510,66/83,.795,71,161,.441,539,174,141,32,11,63,61,3
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,240/472,.508,121/143,.846,62,144,.431,663,240,142,33,29,65,81,7
太陽神,454.l.130312.t.9,177/366,.484,79/104,.760,49,153,.320,482,169,161,41,23,55,70,8
安叮叮康阿吉,454.l.130312.t.10,211/446,.473,139/165,.842,74,186,.398,635,230,159,48,21,72,72,11
