player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,244/503,.485,118/135,.874,59,168,.351,665,198,166,39,30,60,75,8
INJURIES Team,454.l.130312.t.7,209/437,.478,106/125,.848,87,194,.448,611,179,90,28,30,62,87,3
Rob Pelinka,454.l.130312.t.2,279/592,.471,147/171,.860,84,241,.349,789,226,196,40,32,93,94,12
安俞真我寶貝,454.l.130312.t.8,251/507,.495,117/135,.867,77,193,.399,696,220,141,32,22,66,82,3
彥廷's Groovy Team,454.l.130312.t.3,119/261,.456,48/61,.787,39,118,.331,325,158,84,18,10,49,52,1
幫你煎,454.l.130312.t.12,151/337,.448,56/70,.800,44,116,.379,402,199,99,32,29,34,69,8
衛冕軍準備一輪遊,454.l.130312.t.4,226/478,.473,137/165,.830,71,183,.388,660,186,102,30,27,73,81,6
安叮叮康阿吉,454.l.130312.t.10,222/492,.451,142/167,.850,59,189,.312,645,234,144,35,21,75,73,7
敢不敢不要比命中率,454.l.130312.t.5,203/424,.479,98/123,.797,38,118,.322,542,178,156,38,17,71,79,5
Rickybelegend,454.l.130312.t.6,294/613,.480,84/109,.771,81,223,.363,753,234,142,43,25,76,86,8
太陽神,454.l.130312.t.9,222/481,.462,112/146,.767,39,137,.285,595,303,171,48,38,79,101,9
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,255/504,.506,114/136,.838,69,169,.408,693,254,145,32,24,54,94,7
