player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,259/509,.509,113/136,.831,77,180,.428,708,273,203,54,35,72,106,11
敢不敢不要比命中率,454.l.130312.t.5,347/680,.510,134/189,.709,63,183,.344,891,275,185,33,22,68,88,9
Rob Pelinka,454.l.130312.t.2,288/587,.491,151/183,.825,87,220,.395,814,242,189,42,32,103,104,13
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,273/567,.481,113/141,.801,59,186,.317,718,267,168,27,16,82,84,9
彥廷's Groovy Team,454.l.130312.t.3,107/220,.486,27/40,.675,33,94,.351,274,100,89,21,14,28,27,2
太陽神,454.l.130312.t.9,194/412,.471,94/128,.734,48,151,.318,530,254,164,38,15,69,77,5
衛冕軍準備一輪遊,454.l.130312.t.4,246/500,.492,89/109,.817,76,207,.367,657,204,167,28,36,78,97,7
幫你煎,454.l.130312.t.12,137/286,.479,53/69,.768,34,89,.382,361,147,97,27,23,31,50,5
Rickybelegend,454.l.130312.t.6,232/460,.504,86/109,.789,70,190,.368,620,224,120,27,23,53,62,9
安俞真我寶貝,454.l.130312.t.8,201/417,.482,71/84,.845,69,179,.385,542,170,99,24,23,45,58,1
INJURIES Team,454.l.130312.t.7,245/499,.491,122/148,.824,76,195,.390,688,209,124,30,18,85,94,6
安叮叮康阿吉,454.l.130312.t.10,203/424,.479,74/93,.796,55,169,.325,535,209,133,37,28,57,61,6
