player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,179/409,.438,79/107,.738,46,163,.282,483,185,143,43,21,55,72,5
INJURIES Team,454.l.130312.t.7,219/454,.482,92/114,.807,83,205,.405,613,192,94,32,29,59,74,5
Rob Pelinka,454.l.130312.t.2,257/542,.474,109/130,.838,80,231,.346,703,244,169,42,18,90,91,6
安俞真我寶貝,454.l.130312.t.8,198/462,.429,74/86,.860,81,228,.355,551,178,126,28,23,64,76,5
彥廷's Groovy Team,454.l.130312.t.3,152/340,.447,36/48,.750,66,192,.344,406,162,120,40,16,61,64,3
幫你煎,454.l.130312.t.12,229/483,.474,103/121,.851,66,190,.347,627,186,111,42,21,62,75,4
衛冕軍準備一輪遊,454.l.130312.t.4,237/496,.478,154/190,.811,92,215,.428,720,220,149,34,28,75,103,7
安叮叮康阿吉,454.l.130312.t.10,224/458,.489,84/97,.866,58,155,.374,590,239,153,37,28,75,65,8
敢不敢不要比命中率,454.l.130312.t.5,275/568,.484,154/210,.733,46,136,.338,750,280,170,39,43,98,97,13
Rickybelegend,454.l.130312.t.6,292/566,.516,106/128,.828,86,220,.391,776,253,130,52,24,65,93,7
太陽神,454.l.130312.t.9,219/495,.442,119/136,.875,74,204,.363,631,230,184,40,22,86,88,11
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,225/468,.481,101/119,.849,62,164,.378,613,233,148,48,32,75,70,7
