player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,239/503,.475,107/131,.817,71,191,.372,656,237,180,34,19,63,80,10
衛冕軍準備一輪遊,454.l.130312.t.4,239/501,.477,109/137,.796,75,206,.364,662,219,140,31,35,56,85,4
Rob Pelinka,454.l.130312.t.2,276/558,.495,95/116,.819,98,239,.410,745,245,222,41,30,97,78,11
INJURIES Team,454.l.130312.t.7,240/488,.492,103/122,.844,80,201,.398,663,270,102,35,43,88,102,8
彥廷's Groovy Team,454.l.130312.t.3,172/333,.517,69/86,.802,63,147,.429,476,189,101,35,24,50,81,6
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,267/545,.490,92/123,.748,65,201,.323,691,302,195,37,24,87,100,9
敢不敢不要比命中率,454.l.130312.t.5,217/435,.499,80/110,.727,56,152,.368,570,214,118,32,22,79,74,6
太陽神,454.l.130312.t.9,241/486,.496,111/140,.793,65,180,.361,658,270,180,43,29,82,91,16
Rickybelegend,454.l.130312.t.6,238/534,.446,103/134,.769,66,202,.327,645,246,163,53,30,68,84,10
安叮叮康阿吉,454.l.130312.t.10,179/380,.471,120/141,.851,44,132,.333,522,191,147,35,23,67,53,7
安俞真我寶貝,454.l.130312.t.8,200/448,.446,80/94,.851,61,184,.332,541,176,96,32,24,68,75,3
幫你煎,454.l.130312.t.12,210/474,.443,84/105,.800,74,210,.352,578,195,133,46,21,68,73,5
