player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,292/622,.469,127/160,.794,70,223,.314,781,297,215,46,29,102,107,8
安叮叮康阿吉,454.l.130312.t.10,267/538,.496,151/181,.834,78,217,.359,763,250,156,47,18,81,94,10
Rob Pelinka,454.l.130312.t.2,294/644,.457,168/215,.781,83,261,.318,839,299,200,39,32,112,114,14
敢不敢不要比命中率,454.l.130312.t.5,287/587,.489,147/192,.766,81,206,.393,802,240,177,42,26,87,85,7
彥廷's Groovy Team,454.l.130312.t.3,196/390,.503,92/109,.844,55,169,.325,539,205,125,26,34,50,71,7
衛冕軍準備一輪遊,454.l.130312.t.4,289/613,.471,113/136,.831,79,250,.316,770,258,166,49,46,81,100,7
Rickybelegend,454.l.130312.t.6,369/795,.464,165/203,.813,92,297,.310,995,353,204,52,39,107,117,14
INJURIES Team,454.l.130312.t.7,261/563,.464,116/142,.817,94,233,.403,732,270,126,37,23,84,103,6
安俞真我寶貝,454.l.130312.t.8,272/601,.453,130/163,.798,95,266,.357,769,248,163,35,22,64,89,3
太陽神,454.l.130312.t.9,279/526,.530,110/148,.743,61,178,.343,729,340,225,58,42,99,111,13
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,371/742,.500,158/198,.798,123,275,.447,1023,334,210,62,39,103,121,5
幫你煎,454.l.130312.t.12,180/421,.428,79/101,.782,55,178,.309,494,176,81,43,26,61,82,3
