player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,130/288,.451,74/90,.822,28,88,.318,362,156,97,22,25,67,68,1
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,176/402,.438,75/89,.843,57,180,.317,484,163,110,38,19,54,58,2
Rob Pelinka,454.l.130312.t.2,213/466,.457,142/172,.826,56,182,.308,624,182,157,27,21,79,75,7
幫你煎,454.l.130312.t.12,182/378,.481,93/113,.823,57,160,.356,514,188,98,25,31,68,75,4
彥廷's Groovy Team,454.l.130312.t.3,145/317,.457,84/107,.785,58,146,.397,432,135,75,24,12,57,73,3
Rickybelegend,454.l.130312.t.6,198/424,.467,117/143,.818,58,161,.360,571,187,103,27,20,72,67,8
衛冕軍準備一輪遊,454.l.130312.t.4,160/355,.451,90/119,.756,63,178,.354,473,156,95,32,31,50,92,5
太陽神,454.l.130312.t.9,230/489,.470,153/209,.732,54,151,.358,667,227,154,35,37,86,84,8
敢不敢不要比命中率,454.l.130312.t.5,196/404,.485,110/164,.671,54,141,.383,556,222,115,23,12,67,88,9
INJURIES Team,454.l.130312.t.7,145/327,.443,82/103,.796,52,137,.380,424,148,83,32,22,53,65,3
安俞真我寶貝,454.l.130312.t.8,122/264,.462,67/81,.827,46,118,.390,357,114,64,37,18,41,54,0
安叮叮康阿吉,454.l.130312.t.10,182/394,.462,96/120,.800,53,139,.381,513,214,120,35,21,69,66,7
