player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,183/379,.483,83/102,.814,49,145,.338,498,211,153,37,24,51,67,9
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,270/477,.566,99/121,.818,70,160,.438,709,240,172,47,23,78,71,10
Rob Pelinka,454.l.130312.t.2,284/562,.505,133/159,.836,87,217,.401,788,210,206,45,13,71,72,9
幫你煎,454.l.130312.t.12,192/409,.469,83/107,.776,48,151,.318,515,190,101,41,19,56,86,4
彥廷's Groovy Team,454.l.130312.t.3,120/236,.508,59/77,.766,40,111,.360,339,115,78,19,13,33,34,3
Rickybelegend,454.l.130312.t.6,247/515,.480,94/118,.797,80,203,.394,668,236,143,52,15,77,77,7
衛冕軍準備一輪遊,454.l.130312.t.4,200/390,.513,103/127,.811,62,157,.395,565,176,104,25,25,58,65,3
太陽神,454.l.130312.t.9,225/459,.490,92/131,.702,48,132,.364,590,236,210,40,24,87,95,11
敢不敢不要比命中率,454.l.130312.t.5,276/559,.494,143/190,.753,54,148,.365,749,263,165,38,33,94,63,15
INJURIES Team,454.l.130312.t.7,146/346,.422,69/89,.775,64,165,.388,425,152,78,24,14,59,59,3
安俞真我寶貝,454.l.130312.t.8,150/346,.434,64/85,.753,51,153,.333,415,157,94,24,28,48,48,4
安叮叮康阿吉,454.l.130312.t.10,228/500,.456,85/97,.876,71,192,.370,612,237,148,44,22,73,78,5
