player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,175/354,.494,97/120,.808,44,120,.367,491,208,143,33,25,52,80,9
安俞真我寶貝,454.l.130312.t.8,188/344,.547,90/120,.750,53,129,.411,519,139,88,26,19,43,47,2
Rob Pelinka,454.l.130312.t.2,214/446,.480,94/108,.870,60,177,.339,582,199,148,38,24,104,72,11
彥廷's Groovy Team,454.l.130312.t.3,96/201,.478,41/46,.891,32,86,.372,265,106,82,18,14,32,33,1
衛冕軍準備一輪遊,454.l.130312.t.4,192/440,.436,81/106,.764,56,179,.313,521,158,123,28,21,70,64,2
INJURIES Team,454.l.130312.t.7,186/418,.445,97/117,.829,52,171,.304,521,191,103,24,21,58,69,5
敢不敢不要比命中率,454.l.130312.t.5,223/510,.437,118/153,.771,50,155,.323,614,211,149,33,14,81,69,8
安叮叮康阿吉,454.l.130312.t.10,172/371,.464,77/93,.828,56,149,.376,477,205,146,33,13,57,63,11
Rickybelegend,454.l.130312.t.6,216/468,.462,113/148,.764,71,185,.384,616,191,134,39,25,56,72,5
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,256/507,.505,115/132,.871,68,169,.402,695,194,158,38,12,80,77,5
太陽神,454.l.130312.t.9,208/422,.493,97/120,.808,61,156,.391,574,247,127,39,32,66,68,11
幫你煎,454.l.130312.t.12,218/451,.483,77/103,.748,53,145,.366,566,209,116,43,25,67,97,7
