player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,241/480,.502,152/193,.788,58,167,.347,692,195,152,31,14,61,87,3
太陽神,454.l.130312.t.9,202/427,.473,112/145,.772,75,177,.424,591,246,202,24,22,78,79,9
Rob Pelinka,454.l.130312.t.2,269/535,.503,120/143,.839,91,225,.404,749,201,184,48,20,87,92,11
Rickybelegend,454.l.130312.t.6,230/509,.452,78/98,.796,64,185,.346,602,212,160,35,25,72,77,7
彥廷's Groovy Team,454.l.130312.t.3,189/446,.424,88/105,.838,56,184,.304,522,213,136,33,26,76,68,8
INJURIES Team,454.l.130312.t.7,268/536,.500,99/134,.739,83,215,.386,718,229,126,39,29,98,99,5
衛冕軍準備一輪遊,454.l.130312.t.4,211/450,.469,76/94,.809,75,195,.385,573,205,103,36,24,53,68,6
安俞真我寶貝,454.l.130312.t.8,195/423,.461,84/97,.866,62,183,.339,536,153,106,28,35,62,71,2
敢不敢不要比命中率,454.l.130312.t.5,211/457,.462,69/97,.711,40,142,.282,531,208,139,26,27,67,68,9
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,281/538,.522,133/148,.899,74,187,.396,769,298,158,38,41,74,82,12
安叮叮康阿吉,454.l.130312.t.10,180/364,.495,61/73,.836,54,146,.370,475,194,93,28,21,54,62,8
幫你煎,454.l.130312.t.12,155/338,.459,62/80,.775,38,116,.328,410,157,88,36,17,48,64,2
