player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,268/523,.512,116/136,.853,70,164,.427,722,285,206,43,30,73,97,15
安俞真我寶貝,454.l.130312.t.8,172/364,.473,71/88,.807,53,159,.333,468,168,102,44,37,61,65,3
Rob Pelinka,454.l.130312.t.2,238/500,.476,96/119,.807,89,223,.399,661,223,195,45,22,76,86,11
彥廷's Groovy Team,454.l.130312.t.3,197/468,.421,87/118,.737,75,222,.338,556,232,135,39,17,69,91,3
衛冕軍準備一輪遊,454.l.130312.t.4,231/521,.443,151/183,.825,78,243,.321,691,198,124,37,22,65,96,5
INJURIES Team,454.l.130312.t.7,215/464,.463,98/120,.817,76,209,.364,604,186,100,33,20,60,81,5
敢不敢不要比命中率,454.l.130312.t.5,260/552,.471,121/163,.742,57,178,.320,698,230,159,42,15,86,102,10
安叮叮康阿吉,454.l.130312.t.10,248/518,.479,114/145,.786,69,165,.418,679,282,148,40,22,77,91,12
Rickybelegend,454.l.130312.t.6,253/516,.490,79/97,.814,68,179,.380,653,244,155,36,22,78,99,12
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,205/446,.460,111/133,.835,63,178,.354,584,196,162,30,7,66,82,4
太陽神,454.l.130312.t.9,263/567,.464,143/196,.730,51,171,.298,720,318,177,30,32,107,99,14
幫你煎,454.l.130312.t.12,220/467,.471,57/82,.695,78,205,.380,575,200,95,35,32,76,83,2
