player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,212/429,.494,94/125,.752,51,133,.383,569,231,126,41,21,67,72,9
彥廷's Groovy Team,454.l.130312.t.3,155/306,.507,42/49,.857,49,131,.374,401,163,92,30,17,40,52,4
Rob Pelinka,454.l.130312.t.2,211/479,.441,100/129,.775,61,211,.289,583,166,164,32,17,68,58,4
太陽神,454.l.130312.t.9,207/407,.509,102/131,.779,61,151,.404,577,236,154,48,25,73,74,11
衛冕軍準備一輪遊,454.l.130312.t.4,289/635,.455,124/156,.795,83,240,.346,785,245,186,41,42,79,99,7
敢不敢不要比命中率,454.l.130312.t.5,223/434,.514,87/126,.690,34,112,.304,567,252,152,33,29,87,79,9
Rickybelegend,454.l.130312.t.6,257/543,.473,88/121,.727,79,205,.385,681,260,127,45,28,66,62,11
幫你煎,454.l.130312.t.12,172/406,.424,40/57,.702,68,179,.380,452,186,105,29,16,47,83,6
INJURIES Team,454.l.130312.t.7,255/528,.483,118/153,.771,69,199,.347,697,244,134,53,32,75,83,11
安俞真我寶貝,454.l.130312.t.8,165/412,.400,52/68,.765,66,197,.335,448,138,97,21,25,49,65,3
安叮叮康阿吉,454.l.130312.t.10,183/368,.497,81/103,.786,53,143,.371,500,199,120,27,21,65,49,8
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,168/347,.484,72/82,.878,43,114,.377,451,170,101,30,15,65,83,4
