player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,237/485,.489,91/114,.798,58,157,.369,623,230,179,66,18,90,95,8
衛冕軍準備一輪遊,454.l.130312.t.4,225/528,.426,94/110,.855,75,227,.330,619,182,170,34,20,78,89,5
Rob Pelinka,454.l.130312.t.2,211/508,.415,118/139,.849,54,201,.269,594,236,164,38,24,87,79,9
INJURIES Team,454.l.130312.t.7,232/507,.458,93/122,.762,100,239,.418,657,211,111,36,26,60,86,6
彥廷's Groovy Team,454.l.130312.t.3,161/341,.472,60/76,.789,58,157,.369,440,165,98,25,15,51,54,2
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,303/585,.518,122/142,.859,78,193,.404,806,288,160,42,27,97,83,11
敢不敢不要比命中率,454.l.130312.t.5,250/526,.475,140/178,.787,52,165,.315,692,223,171,32,22,96,82,7
太陽神,454.l.130312.t.9,198/355,.558,62/79,.785,50,123,.407,508,220,173,50,25,65,74,7
Rickybelegend,454.l.130312.t.6,259/555,.467,114/139,.820,73,219,.333,705,205,130,31,18,71,75,3
安叮叮康阿吉,454.l.130312.t.10,194/392,.495,111/131,.847,69,166,.416,568,200,138,28,24,67,44,7
安俞真我寶貝,454.l.130312.t.8,232/478,.485,73/97,.753,90,215,.419,627,205,134,27,12,47,65,5
幫你煎,454.l.130312.t.12,242/509,.475,123/156,.788,70,194,.361,677,253,139,47,25,94,96,7
